time,sound,probability
0.0,Music,0.6856203079223633
0.01,Music,0.6856203079223633
0.02,Music,0.6856203079223633
0.03,Music,0.6856203079223633
0.04,Music,0.6856203079223633
0.05,Music,0.6856203079223633
0.06,Music,0.6856203079223633
0.07,Music,0.6856203079223633
0.08,Music,0.6856203079223633
0.09,Music,0.6856203079223633
0.1,Music,0.6856203079223633
0.11,Music,0.6856203079223633
0.12,Music,0.6856203079223633
0.13,Music,0.6856203079223633
0.14,Music,0.6856203079223633
0.15,Music,0.6856203079223633
0.16,Music,0.6856203079223633
0.17,Music,0.6856203079223633
0.18,Music,0.6856203079223633
0.19,Music,0.6856203079223633
0.2,Music,0.6856203079223633
0.21,Music,0.6856203079223633
0.22,Music,0.6856203079223633
0.23,Music,0.6856203079223633
0.24,Music,0.6856203079223633
0.25,Music,0.6856203079223633
0.26,Music,0.6856203079223633
0.27,Music,0.6856203079223633
0.28,Music,0.6856203079223633
0.29,Music,0.6856203079223633
0.3,Music,0.6856203079223633
0.31,Music,0.6856203079223633
0.32,Music,0.7038106918334961
0.33,Music,0.7038106918334961
0.34,Music,0.7038106918334961
0.35,Music,0.7038106918334961
0.36,Music,0.7038106918334961
0.37,Music,0.7038106918334961
0.38,Music,0.7038106918334961
0.39,Music,0.7038106918334961
0.4,Music,0.7038106918334961
0.41,Music,0.7038106918334961
0.42,Music,0.7038106918334961
0.43,Music,0.7038106918334961
0.44,Music,0.7038106918334961
0.45,Music,0.7038106918334961
0.46,Music,0.7038106918334961
0.47,Music,0.7038106918334961
0.48,Music,0.7038106918334961
0.49,Music,0.7038106918334961
0.5,Music,0.7038106918334961
0.51,Music,0.7038106918334961
0.52,Music,0.7038106918334961
0.53,Music,0.7038106918334961
0.54,Music,0.7038106918334961
0.55,Music,0.7038106918334961
0.56,Music,0.7038106918334961
0.57,Music,0.7038106918334961
0.58,Music,0.7038106918334961
0.59,Music,0.7038106918334961
0.6,Music,0.7038106918334961
0.61,Music,0.7038106918334961
0.62,Music,0.7038106918334961
0.63,Music,0.7038106918334961
0.64,Music,0.6640105247497559
0.65,Music,0.6640105247497559
0.66,Music,0.6640105247497559
0.67,Music,0.6640105247497559
0.68,Music,0.6640105247497559
0.69,Music,0.6640105247497559
0.7,Music,0.6640105247497559
0.71,Music,0.6640105247497559
0.72,Music,0.6640105247497559
0.73,Music,0.6640105247497559
0.74,Music,0.6640105247497559
0.75,Music,0.6640105247497559
0.76,Music,0.6640105247497559
