time,sound,probability
0.32,Music,0.20885561406612396
0.33,Music,0.20885561406612396
0.34,Music,0.20885561406612396
0.35,Music,0.20885561406612396
0.36,Music,0.20885561406612396
0.37,Music,0.20885561406612396
0.38,Music,0.20885561406612396
0.39,Music,0.20885561406612396
0.4,Music,0.20885561406612396
0.41,Music,0.20885561406612396
0.42,Music,0.20885561406612396
0.43,Music,0.20885561406612396
0.44,Music,0.20885561406612396
0.45,Music,0.20885561406612396
0.46,Music,0.20885561406612396
0.47,Music,0.20885561406612396
0.48,Music,0.20885561406612396
0.49,Music,0.20885561406612396
0.5,Music,0.20885561406612396
0.51,Music,0.20885561406612396
0.52,Music,0.20885561406612396
0.53,Music,0.20885561406612396
0.54,Music,0.20885561406612396
0.55,Music,0.20885561406612396
0.56,Music,0.20885561406612396
0.57,Music,0.20885561406612396
0.58,Music,0.20885561406612396
0.59,Music,0.20885561406612396
0.6,Music,0.20885561406612396
0.61,Music,0.20885561406612396
0.62,Music,0.20885561406612396
0.63,Music,0.20885561406612396
0.64,Music,0.2622371315956116
0.65,Music,0.2622371315956116
0.66,Music,0.2622371315956116
0.67,Music,0.2622371315956116
0.68,Music,0.2622371315956116
0.69,Music,0.2622371315956116
0.7,Music,0.2622371315956116
0.71,Music,0.2622371315956116
0.72,Music,0.2622371315956116
0.73,Music,0.2622371315956116
0.74,Music,0.2622371315956116
0.75,Music,0.2622371315956116
0.76,Music,0.2622371315956116
0.77,Music,0.2622371315956116
0.78,Music,0.2622371315956116
0.79,Music,0.2622371315956116
0.8,Music,0.2622371315956116
0.81,Music,0.2622371315956116
0.82,Music,0.2622371315956116
0.83,Music,0.2622371315956116
0.84,Music,0.2622371315956116
0.85,Music,0.2622371315956116
0.86,Music,0.2622371315956116
0.87,Music,0.2622371315956116
0.88,Music,0.2622371315956116
0.89,Music,0.2622371315956116
0.9,Music,0.2622371315956116
0.91,Music,0.2622371315956116
0.92,Music,0.2622371315956116
0.93,Music,0.2622371315956116
0.94,Music,0.2622371315956116
0.95,Music,0.2622371315956116
0.96,Music,0.40024298429489136
0.97,Music,0.40024298429489136
0.98,Music,0.40024298429489136
0.99,Music,0.40024298429489136
1.0,Music,0.40024298429489136
1.01,Music,0.40024298429489136
1.02,Music,0.40024298429489136
1.03,Music,0.40024298429489136
1.04,Music,0.40024298429489136
1.05,Music,0.40024298429489136
1.06,Music,0.40024298429489136
1.07,Music,0.40024298429489136
1.08,Music,0.40024298429489136
1.09,Music,0.40024298429489136
1.1,Music,0.40024298429489136
1.11,Music,0.40024298429489136
1.12,Music,0.40024298429489136
1.13,Music,0.40024298429489136
1.14,Music,0.40024298429489136
1.15,Music,0.40024298429489136
1.16,Music,0.40024298429489136
1.17,Music,0.40024298429489136
1.18,Music,0.40024298429489136
1.19,Music,0.40024298429489136
1.2,Music,0.40024298429489136
1.21,Music,0.40024298429489136
1.22,Music,0.40024298429489136
1.23,Music,0.40024298429489136
1.24,Music,0.40024298429489136
1.25,Music,0.40024298429489136
1.26,Music,0.40024298429489136
1.27,Music,0.40024298429489136
1.28,Music,0.5369096398353577
1.29,Music,0.5369096398353577
1.3,Music,0.5369096398353577
1.31,Music,0.5369096398353577
1.32,Music,0.5369096398353577
1.33,Music,0.5369096398353577
1.34,Music,0.5369096398353577
1.35,Music,0.5369096398353577
1.36,Music,0.5369096398353577
1.37,Music,0.5369096398353577
1.38,Music,0.5369096398353577
1.39,Music,0.5369096398353577
1.4,Music,0.5369096398353577
1.41,Music,0.5369096398353577
1.42,Music,0.5369096398353577
1.43,Music,0.5369096398353577
1.44,Music,0.5369096398353577
1.45,Music,0.5369096398353577
1.46,Music,0.5369096398353577
1.47,Music,0.5369096398353577
1.48,Music,0.5369096398353577
1.49,Music,0.5369096398353577
1.5,Music,0.5369096398353577
1.51,Music,0.5369096398353577
1.52,Music,0.5369096398353577
1.53,Music,0.5369096398353577
1.54,Music,0.5369096398353577
1.55,Music,0.5369096398353577
1.56,Music,0.5369096398353577
1.57,Music,0.5369096398353577
1.58,Music,0.5369096398353577
1.59,Music,0.5369096398353577
1.6,Music,0.6018573045730591
1.61,Music,0.6018573045730591
